Region,Sex,Year,Total
Africa,Female,2003,3672.0
Africa,Female,2004,5756.0
Africa,Female,2005,7500.0
Africa,Female,2006,9108.0
Africa,Female,2007,11628.0
Africa,Female,2008,17642.0
Africa,Female,2009,14706.0
Africa,Female,2010,18736.0
Africa,Female,2011,17198.0
Africa,Female,2012,13584.0
Africa,Female,2013,18118.0
Africa,Female,2014,17852.0
Africa,Female,2015,19743.0
Africa,Female,2016,17550.0
Africa,Female,2017,14433.0
Africa,Female,2018,11159.0
Africa,Female,2019,11505.0
Africa,Female,2020,15274.0
Africa,Female,2021,16914.0
Africa,Female,2022,27.0
Africa,Male,2004,46176.0
Africa,Male,2005,123414.0
Africa,Male,2006,112404.0
Africa,Male,2007,111298.0
Africa,Male,2008,313266.0
Africa,Male,2009,475310.0
Africa,Male,2010,564434.0
Africa,Male,2011,563842.0
Africa,Male,2012,465092.0
Africa,Male,2013,614392.0
Africa,Male,2014,579206.0
Africa,Male,2015,591186.0
Africa,Male,2016,487703.0
Africa,Male,2017,451539.0
Africa,Male,2018,358269.0
Africa,Male,2019,350300.0
Africa,Male,2020,377187.0
Africa,Male,2021,413040.0
Africa,Total,1013,40260.0
Africa,Total,1998,2320.0
Africa,Total,1999,41720.0
Africa,Total,2000,296092.0
Africa,Total,2001,116393.0
Africa,Total,2002,30594.0
Africa,Total,2003,710122.4
Africa,Total,2004,1092198.0
Africa,Total,2005,1659119.6
Africa,Total,2006,1115843.0
Africa,Total,2007,1136607.8
Africa,Total,2008,2054596.8
Africa,Total,2009,1474528.0
Africa,Total,2010,2427450.6
Africa,Total,2011,2092494.0
Africa,Total,2012,2122941.4
Africa,Total,2013,3021217.0
Africa,Total,2014,3332847.092
Africa,Total,2015,3313165.0
Africa,Total,2016,2644513.0
Africa,Total,2017,2865913.0
Africa,Total,2018,1735900.0
Africa,Total,2019,1757249.0
Africa,Total,2020,1667424.0
Africa,Total,2021,2399084.0
Africa,Total,2022,1050821.0
Americas,Female,2003,33308.0
Americas,Female,2004,405532.0
Americas,Female,2005,435434.0
Americas,Female,2006,503548.0
Americas,Female,2007,518724.0
Americas,Female,2008,528638.0
Americas,Female,2009,525404.0
Americas,Female,2010,530848.0
Americas,Female,2011,535908.0
Americas,Female,2012,540840.0
Americas,Female,2013,571003.0
Americas,Female,2014,1666094.0
Americas,Female,2015,1649108.0
Americas,Female,2016,1678057.0
Americas,Female,2017,1722021.0
Americas,Female,2018,1674750.0
Americas,Female,2019,1663491.0
Americas,Female,2020,1377499.0
Americas,Female,2021,1284043.0
Americas,Male,2003,204666.0
Americas,Male,2004,4356868.0
Americas,Male,2005,4741460.0
Americas,Male,2006,5633384.0
Americas,Male,2007,5754550.0
Americas,Male,2008,5905938.0
Americas,Male,2009,6087198.0
Americas,Male,2010,6165966.0
Americas,Male,2011,6263320.0
Americas,Male,2012,6433752.0
Americas,Male,2013,6490617.0
Americas,Male,2014,10215609.0
Americas,Male,2015,10265325.0
Americas,Male,2016,10892743.0
Americas,Male,2017,10955682.0
Americas,Male,2018,11120898.0
Americas,Male,2019,11073580.0
Americas,Male,2020,8208047.0
Americas,Male,2021,8256813.0
Americas,Total,1999,42646.0
Americas,Total,2000,1130437.0
Americas,Total,2001,61928.0
Americas,Total,2002,65544.0
Americas,Total,2003,11213085.6182
Americas,Total,2004,12992796.8982
Americas,Total,2005,14269361.24
Americas,Total,2006,17536030.2618
Americas,Total,2007,17561717.36
Americas,Total,2008,18579891.84
Americas,Total,2009,19353604.0
Americas,Total,2010,20186530.0
Americas,Total,2011,20425744.0
Americas,Total,2012,33835046.92
Americas,Total,2013,34434380.0
Americas,Total,2014,39479145.6
Americas,Total,2015,39152987.99
Americas,Total,2016,40130823.55
Americas,Total,2017,40841351.0
Americas,Total,2018,42006648.9
Americas,Total,2019,40371236.4
Americas,Total,2020,27912538.3
Americas,Total,2021,25097207.0
Americas,Total,2022,1610766.0
Asia,Female,2003,36448.0
Asia,Female,2004,74594.0
Asia,Female,2005,141292.0
Asia,Female,2006,136454.0
Asia,Female,2007,76106.0
Asia,Female,2008,86426.0
Asia,Female,2009,142320.0
Asia,Female,2010,86605.0
Asia,Female,2011,90247.0
Asia,Female,2012,306269.0
Asia,Female,2013,118346.0
Asia,Female,2014,370694.0
Asia,Female,2015,385881.0
Asia,Female,2016,398797.0
Asia,Female,2017,93100.0
Asia,Female,2018,245287.0
Asia,Female,2019,251559.0
Asia,Female,2020,203143.0
Asia,Female,2021,90043.0
Asia,Male,2003,4936.0
Asia,Male,2004,871910.0
Asia,Male,2005,1224898.0
Asia,Male,2006,1286390.0
Asia,Male,2007,1279866.0
Asia,Male,2008,1465906.0
Asia,Male,2009,1238122.0
Asia,Male,2010,1658428.0
Asia,Male,2011,1649177.0
Asia,Male,2012,5128771.0
Asia,Male,2013,2117837.0
Asia,Male,2014,4970153.0
Asia,Male,2015,4895959.0
Asia,Male,2016,4915631.0
Asia,Male,2017,1792992.0
Asia,Male,2018,2913834.0
Asia,Male,2019,3050832.0
Asia,Male,2020,2656592.0
Asia,Male,2021,1574790.0
Asia,Total,1999,219898.0
Asia,Total,2000,783271.0
Asia,Total,2001,89336.0
Asia,Total,2002,9284.0
Asia,Total,2003,2362582.0
Asia,Total,2004,4466638.0
Asia,Total,2005,5799857.0
Asia,Total,2006,5760565.0
Asia,Total,2007,4601675.0
Asia,Total,2008,5131694.0
Asia,Total,2009,5761342.0
Asia,Total,2010,10813040.0
Asia,Total,2011,10634503.0
Asia,Total,2012,10655427.0
Asia,Total,2013,14375961.0
Asia,Total,2014,14207580.0
Asia,Total,2015,13395241.0
Asia,Total,2016,11582408.0
Asia,Total,2017,7256537.0
Asia,Total,2018,9995420.0
Asia,Total,2019,10456632.0
Asia,Total,2020,9313117.0
Asia,Total,2021,7723598.0
Asia,Total,2022,903720.0
Europe,Female,2003,58314.0
Europe,Female,2004,136334.0
Europe,Female,2005,155570.0
Europe,Female,2006,171068.0
Europe,Female,2007,179476.0
Europe,Female,2008,195922.0
Europe,Female,2009,83862.0
Europe,Female,2010,221930.0
Europe,Female,2011,211926.0
Europe,Female,2012,187901.0
Europe,Female,2013,186610.0
Europe,Female,2014,201952.0
Europe,Female,2015,196928.0
Europe,Female,2016,201395.0
Europe,Female,2017,209701.0
Europe,Female,2018,219347.0
Europe,Female,2019,201142.0
Europe,Female,2020,189218.0
Europe,Female,2021,104942.0
Europe,Female,2022,456.0
Europe,Male,2003,192752.0
Europe,Male,2004,649556.0
Europe,Male,2005,790236.0
Europe,Male,2006,1000254.0
Europe,Male,2007,1052522.0
Europe,Male,2008,1218440.0
Europe,Male,2009,1264692.0
Europe,Male,2010,3083861.0
Europe,Male,2011,2980048.0
Europe,Male,2012,2639558.0
Europe,Male,2013,2617570.0
Europe,Male,2014,2783205.0
Europe,Male,2015,2743190.0
Europe,Male,2016,2883508.26415
Europe,Male,2017,3005394.6078439998
Europe,Male,2018,2949753.0
Europe,Male,2019,2627131.0
Europe,Male,2020,2591127.0
Europe,Male,2021,1613565.0
Europe,Male,2022,8307.0
Europe,Total,2000,856086.0
Europe,Total,2001,3142.0
Europe,Total,2003,3822049.0
Europe,Total,2004,8809041.0
Europe,Total,2005,9444396.825
Europe,Total,2006,9670761.0
Europe,Total,2007,9785211.0
Europe,Total,2008,9982143.0
Europe,Total,2009,9867070.0
Europe,Total,2010,10367114.675
Europe,Total,2011,10134702.0
Europe,Total,2012,10049379.0
Europe,Total,2013,10709461.0
Europe,Total,2014,11036511.008
Europe,Total,2015,10422258.33
Europe,Total,2016,10998381.304
Europe,Total,2017,11568383.0
Europe,Total,2018,10749766.0
Europe,Total,2019,10279647.0
Europe,Total,2020,7488463.0
Europe,Total,2021,6922790.0
Europe,Total,2022,1654532.0
Europe,Total,2023,23495.0
Oceania,Female,2003,2396.0
Oceania,Female,2004,2554.0
Oceania,Female,2005,912.0
Oceania,Female,2006,890.0
Oceania,Female,2007,4972.0
Oceania,Female,2008,4908.0
Oceania,Female,2009,5362.0
Oceania,Female,2010,5676.0
Oceania,Female,2011,5054.0
Oceania,Female,2012,5382.0
Oceania,Female,2013,6382.0
Oceania,Female,2014,7198.0
Oceania,Female,2015,8032.0
Oceania,Female,2016,21245.0
Oceania,Female,2017,21258.0
Oceania,Female,2018,24856.0
Oceania,Female,2019,26683.0
Oceania,Female,2020,25224.0
Oceania,Female,2021,25266.0
Oceania,Male,2004,44998.0
Oceania,Male,2005,61186.0
Oceania,Male,2006,62212.0
Oceania,Male,2007,66064.0
Oceania,Male,2008,67598.0
Oceania,Male,2009,71388.0
Oceania,Male,2010,72394.0
Oceania,Male,2011,70024.0
Oceania,Male,2012,70310.0
Oceania,Male,2013,80973.0
Oceania,Male,2014,87781.0
Oceania,Male,2015,94153.0
Oceania,Male,2016,157606.0
Oceania,Male,2017,144201.0
Oceania,Male,2018,180666.0
Oceania,Male,2019,189387.0
Oceania,Male,2020,182296.0
Oceania,Male,2021,184267.0
Oceania,Total,1999,102.0
Oceania,Total,2000,12050.0
Oceania,Total,2002,67.0
Oceania,Total,2003,91006.0
Oceania,Total,2004,100735.0
Oceania,Total,2005,58313.3
Oceania,Total,2006,42496.0
Oceania,Total,2007,158226.0
Oceania,Total,2008,166960.0
Oceania,Total,2009,174780.1
Oceania,Total,2010,189328.0
Oceania,Total,2011,180074.0
Oceania,Total,2012,188465.0
Oceania,Total,2013,233874.0
Oceania,Total,2014,260518.0
Oceania,Total,2015,281499.0
Oceania,Total,2016,373746.948
Oceania,Total,2017,554661.0
Oceania,Total,2018,522967.0
Oceania,Total,2019,537165.0
Oceania,Total,2020,519392.0
Oceania,Total,2021,523795.0
Oceania,Total,2022,19054.0
