Region,Year,Sentenced,Unsentenced
Africa,2003,35098.0,44539.0
Africa,2004,62285.0,54611.0
Africa,2005,62074.0,270210.0
Africa,2006,71892.0,73023.0
Africa,2007,105169.0,102610.0
Africa,2008,156909.0,165825.0
Africa,2009,118950.0,153583.0
Africa,2010,166824.0,254761.0
Africa,2011,166575.0,154356.0
Africa,2012,150528.0,147949.0
Africa,2013,188863.0,464526.0
Africa,2014,188603.0,556352.0
Africa,2015,188486.0,572707.0
Africa,2016,214165.0,477434.0
Africa,2017,255181.0,557799.0
Africa,2018,131369.0,289302.0
Africa,2019,135065.0,352991.0
Africa,2020,125513.0,244809.0
Africa,2021,134049.0,507855.0
Americas,2003,200485.0,651098.0
Americas,2004,1942729.0,644340.0
Americas,2005,2004123.0,876618.0
Americas,2006,2066055.0,904403.0
Americas,2007,2076546.0,921683.0
Americas,2008,2114151.0,879612.0
Americas,2009,2399553.0,926842.0
Americas,2010,2438899.0,973635.0
Americas,2011,2464034.0,942455.0
Americas,2012,2479941.0,12647872.0
Americas,2013,2510094.0,12884367.0
Americas,2014,3151362.0,12731735.0
Americas,2015,3255298.0,12390609.0
Americas,2016,4255093.0,12572531.0
Americas,2017,3783627.0,12621760.0
Americas,2018,3314799.0,12767799.0
Americas,2019,3319670.0,12300256.0
Americas,2020,2116366.0,10008352.0
Americas,2021,2222273.0,8316355.0
Asia,2003,237167.0,134671.0
Asia,2004,362056.0,417278.0
Asia,2005,533856.0,561008.0
Asia,2006,532068.0,508111.0
Asia,2007,344730.0,413673.0
Asia,2008,379708.0,438812.0
Asia,2009,553512.0,528304.0
Asia,2010,2074049.0,651509.0
Asia,2011,2067449.0,432692.0
Asia,2012,448274.0,859788.0
Asia,2013,2130303.0,890989.0
Asia,2014,2333034.0,775475.0
Asia,2015,2293230.0,1051892.0
Asia,2016,2025652.0,1115301.0
Asia,2017,519396.0,652618.0
Asia,2018,2365138.0,825929.0
Asia,2019,1013758.0,1383432.0
Asia,2020,919773.0,836082.0
Asia,2021,672762.0,963148.0
Europe,2003,428684.0,158041.0
Europe,2004,1068381.0,231547.0
Europe,2005,1283338.0,263491.0
Europe,2006,1353636.0,250497.0
Europe,2007,1253900.0,245058.0
Europe,2008,1283138.0,237429.0
Europe,2009,1281764.0,239072.0
Europe,2010,1389690.0,263171.0
Europe,2011,1344636.0,248631.0
Europe,2012,1168704.0,668165.0
Europe,2013,1186792.0,924021.0
Europe,2014,1425877.0,909302.0
Europe,2015,1366451.0,806599.0
Europe,2016,1473025.0,766059.0
Europe,2017,1486224.0,822797.0
Europe,2018,1465701.0,777250.0
Europe,2019,1424006.0,763002.0
Europe,2020,1072801.0,569222.0
Europe,2021,1070771.0,556459.0
Oceania,2003,23881.0,5849.0
Oceania,2004,24826.0,5994.0
Oceania,2005,6094.0,8088.0
Oceania,2006,6198.0,1339.0
Oceania,2007,27136.0,7573.0
Oceania,2008,27503.0,7904.0
Oceania,2009,29418.0,10683.0
Oceania,2010,30086.0,8510.0
Oceania,2011,29009.0,8886.0
Oceania,2012,29219.0,9875.0
Oceania,2013,29993.0,29829.0
Oceania,2014,32266.0,31046.0
Oceania,2015,32929.0,37412.0
Oceania,2016,33743.0,31360.0
Oceania,2017,52826.0,77125.0
Oceania,2018,59923.0,91947.0
Oceania,2019,59658.0,97316.0
Oceania,2020,56011.0,88603.0
Oceania,2021,54302.0,90647.0
Africa,1998,,1160.0
Africa,1999,,20860.0
Africa,2000,,148046.0
Africa,2001,,29903.0
Africa,2002,,15297.0
Africa,2022,,189003.0
Americas,1999,,21323.0
Americas,2000,,561949.0
Americas,2001,,30964.0
Americas,2002,,32772.0
Americas,2022,,242475.0
Asia,1999,,109949.0
Asia,2000,,360301.0
Asia,2001,,44668.0
Asia,2002,,4262.0
Asia,2022,,118734.0
Europe,2000,,428043.0
Europe,2001,,1571.0
Europe,2022,,88545.0
Europe,2023,,2149.0
Oceania,1999,,51.0
Oceania,2000,,6025.0
Oceania,2002,,6.0
Oceania,2022,,3642.0
