date, Per 100K Population, Annual % Change,
31/12/2000,6.8542,,
31/12/2001,6.9437,1.31,
31/12/2002,6.906,-0.54,
31/12/2003,6.7293,-2.56,
31/12/2004,6.5042,-3.35,
31/12/2005,6.294,-3.23,
31/12/2006,6.1782,-1.84,
31/12/2007,6.0124,-2.68,
31/12/2008,6.0101,-0.04,
31/12/2009,6.0668,0.94,
31/12/2010,6.0496,-0.28,
31/12/2011,6.084,0.57,
31/12/2012,6.1132,0.48,
31/12/2013,6.032,-1.33,
31/12/2014,6.0321,0,
31/12/2015,5.912,-1.99, 
31/12/2016,5.9478,0.61,
31/12/2017,5.9069,-0.69,
31/12/2018,5.7747,-2.24,
31/12/2019,5.5641,-3.65,
31/12/2020,5.6053,0.74,
